supply_node,geography,other_index_1,unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,resource_bin,year,value,sensitivity
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2050,1081.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2011,391.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2012,366.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2013,354.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2014,350.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2015,367.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2016,381.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2017,391.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2018,406.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2019,371.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2020,354.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2021,354.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2022,356.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2023,361.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2024,365.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2025,368.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2026,371.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2027,377.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2028,385.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2029,394.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2030,405.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2031,416.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2032,425.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2033,435.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2034,445.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2035,455.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2036,464.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2037,474.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2038,484.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2039,495.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2040,506.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2041,517.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2042,529.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2043,541.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2044,553.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2045,565.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2046,577.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2047,590.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2048,603.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2049,616.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,west,,,2050,629.0,
Bulk Electricity Blend,census region,,terawatt_hour,linear_interpolation,nearest,,,,,midwest,,,2014,-12.0,
Bulk Electricity Blend,census region,,terawatt_hour,linear_interpolation,nearest,,,,,northeast,,,2014,-34.0,
Bulk Electricity Blend,census region,,terawatt_hour,linear_interpolation,nearest,,,,,south,,,2014,0.0,
Bulk Electricity Blend,census region,,terawatt_hour,linear_interpolation,nearest,,,,,west,,,2014,10.0,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2012,2535.745081,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2013,2372.00538,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2014,1965.0864239999999,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2015,1656.740958,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2016,1685.957213,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2017,1741.377214,
